a,a,1,quicklogin,100
test_user@epam.com,XpQC6C4bfqF4ds,2,Test User,100
test_user1@epam.com,KMtEd2YQmM84EP,3,Test User 1,0
test_user2@epam.com,aZYyrmsmQ5PTcf,4,Test User 2,50
test_user3@epam.com,xMWsiLqu6Yph2u,5,Test User 3,16.1
test_user4@epam.com,qMDQX9m9xn2mAH,6,Test User 4,200
test_user5@epam.com,e3RZjfcWbH3VvR,7,Test User 5,1
test_user6@epam.com,dcpxZX3V6NJ5E3,8,Test User 6,9
test_user7@epam.com,umuQ8meYRDTA39,9,Test User 7,66
test_user8@epam.com,rDbYUYd7avU47A,10,Test User 8,1000
test_user9@epam.com,gG3pdVYdQoVVFS,11,Test User 9,0
test_user10@epam.com,6v6UwWzkyxw9oZ,12,Test User 10,63
test_user11@epam.com,Lo5DfPiAgqkmGx,13,Test User 11,31
test_user12@epam.com,dwqPk5Y3KUdEPa,14,Test User 12,86
test_user13@epam.com,5wxKVBHZxzTL7r,15,Test User 13,32.9
test_user14@epam.com,Fv84dVypppzUQF,16,Test User 14,24
test_user15@epam.com,LWyjr58n9wbHqU,17,Test User 15,3
test_user16@epam.com,yQnVdt2hYhB5Fp,18,Test User 16,356
test_user17@epam.com,xx7hfcrcLSr979,19,Test User 17,354.68
test_user18@epam.com,t8bkVh79CZ84EK,20,Test User 18,96.14
